# family	folder	unit	phase	identifier	flows	packet-types	records	codecs	index
Handshake	Intention	Intention	Handshake	intention	Serverbound	HandshakePackets.Serverbound.Intention	ServerboundHandshakePacket	HandshakeCodecs.Intention	HandshakeStatusBindings
Common	CookieRequest	CookieRequest.Login	Login	cookie_request	Clientbound	LoginFamilyPackets.Login.CookieRequest	ClientboundLoginCookieRequestPacket	LoginChannelCodecs.LoginCookieRequest	LoginBindings
Common	CookieResponse	CookieResponse.Login	Login	cookie_response	Serverbound	LoginFamilyPackets.Login.CookieResponse	ServerboundLoginCookieResponsePacket	LoginChannelCodecs.LoginCookieResponse	LoginBindings
Login	CustomQuery	CustomQuery	Login	custom_query	Clientbound	LoginFamilyPackets.Login.CustomQuery	ClientboundLoginCustomQueryPacket	LoginChannelCodecs.CustomQuery	LoginBindings
Login	CustomQueryAnswer	CustomQueryAnswer	Login	custom_query_answer	Serverbound	LoginFamilyPackets.Login.CustomQueryAnswer	ServerboundLoginCustomQueryAnswerPacket	LoginChannelCodecs.CustomQueryAnswer	LoginBindings
Login	Hello	Hello	Login	hello	Clientbound,Serverbound	LoginPackets.Clientbound.Hello,LoginPackets.Serverbound.Hello	ClientboundHelloPacket,ServerboundHelloPacket	LoginCodecs.ClientHelloV1_19,LoginCodecs.ClientHelloV1_19_1,LoginCodecs.ClientHelloV1_19_3,LoginCodecs.ClientHelloV1_20_2,LoginCodecs.ClientHelloV1_8,LoginCodecs.ServerHelloV1_20_5,LoginCodecs.ServerHelloV1_8	LoginBindings
Login	Key	Key	Login	key	Serverbound	LoginPackets.Serverbound.Key	ServerboundKeyPacket	LoginCodecs.Key,LoginCodecs.KeyV1_19	LoginBindings
Login	LoginAcknowledged	LoginAcknowledged	Login	login_acknowledged	Serverbound	LoginPackets.Serverbound.LoginAcknowledged	ServerboundLoginAcknowledgedPacket	LoginCodecs.LoginAcknowledged	LoginBindings
Login	LoginCompression	LoginCompression	Login	login_compression	Clientbound	LoginPackets.Clientbound.LoginCompression	ClientboundLoginCompressionPacket	LoginCodecs.Compression	LoginBindings
Login	LoginDisconnect	LoginDisconnect	Login	login_disconnect	Clientbound	LoginPackets.Clientbound.Disconnect	ClientboundLoginDisconnectPacket	LoginCodecs.DisconnectV1_20_3,LoginCodecs.DisconnectV1_21_5,LoginCodecs.DisconnectV1_8	LoginBindings
Login	LoginFinished	LoginFinished	Login	login_finished	Clientbound	LoginPackets.Clientbound.LoginFinished	ClientboundLoginFinishedPacket	LoginCodecs.FinishedV1_16,LoginCodecs.FinishedV1_20_5,LoginCodecs.FinishedV1_19,LoginCodecs.FinishedV1_8,LoginCodecs.FinishedV26_2	LoginBindings
Ui	Abilities	Abilities	Play	abilities	Clientbound,Serverbound	UiPackets.Clientbound.LegacyAbilities,UiPackets.Serverbound.LegacyAbilities	ClientboundPlayerAbilitiesPacket,ServerboundLegacyPlayerAbilitiesPacket	UiMiscCodecs.PlayerAbilitiesV1_8,UiMiscCodecs.ServerLegacyAbilitiesV1_8	UiBindings
Entity	AcceptTeleportation	AcceptTeleportation	Play	accept_teleportation	Serverbound	EntityPackets.Serverbound.AcceptTeleportation	ServerboundAcceptTeleportationPacket	EntityServerboundCodecs.AcceptTeleportation	EntityBindings
Entity	AddEntity	AddEntity	Play	add_entity	Clientbound	EntityPackets.Clientbound.AddEntity	ClientboundAddEntityPacket	EntitySpawnCodecs.AddEntityV1_19,EntitySpawnCodecs.AddEntityV1_21_9,EntitySpawnCodecs.AddEntityV1_8,EntitySpawnCodecs.AddEntityV1_9	EntityBindings
Entity	AddExperienceOrb	AddExperienceOrb	Play	add_experience_orb	Clientbound	EntityPackets.Clientbound.AddExperienceOrb	ClientboundAddExperienceOrbPacket	EntitySpawnCodecs.AddExperienceOrbV1_8,EntitySpawnCodecs.AddExperienceOrbV1_9	EntityBindings
Entity	AddMob	AddMob	Play	add_mob	Clientbound	EntityPackets.Clientbound.AddMob	ClientboundAddMobPacket	EntitySpawnCodecs.AddMobV1_12,EntitySpawnCodecs.AddMobV1_13,EntitySpawnCodecs.AddMobV1_14,EntitySpawnCodecs.AddMobV1_15,EntitySpawnCodecs.AddMobV1_8,EntitySpawnCodecs.AddMobV1_9	EntityBindings
