# family	folder	unit	phase	identifier	flows	packet-types	records	codecs	index
Entity	Interact	Interact	Play	interact	Serverbound	EntityPackets.Serverbound.Interact	ServerboundInteractPacket	EntityServerboundCodecs.InteractV1_16,EntityServerboundCodecs.InteractV1_8,EntityServerboundCodecs.InteractV1_9	EntityBindings
Common	KeepAlive	KeepAlive.Play	Play	keep_alive	Clientbound,Serverbound	PlayPackets.Clientbound.KeepAlive,PlayPackets.Serverbound.KeepAlive	ClientboundPlayKeepAlivePacket,ServerboundPlayKeepAlivePacket	PlayKeepAliveCodecs.ClientV1_12_2,PlayKeepAliveCodecs.ClientV1_8,PlayKeepAliveCodecs.ServerV1_12_2,PlayKeepAliveCodecs.ServerV1_8	PlayCoreBindings
Chunk	LevelChunkWithLight	LevelChunkWithLight	Play	level_chunk_with_light	Clientbound	PlayPackets.Clientbound.LevelChunk	ClientboundLevelChunkPacket	ChunkCodecs.V1_13,ChunkCodecs.V1_14,ChunkCodecs.V1_15,ChunkCodecs.V1_16,ChunkCodecs.V1_16_2,ChunkCodecs.V1_17,ChunkCodecs.V1_18,ChunkCodecs.V1_20_2,ChunkCodecs.V1_21_2,ChunkCodecs.V1_21_5,ChunkCodecs.V1_8,ChunkCodecs.V1_9,ChunkCodecs.V26_1	PlayCoreBindings
World	LevelEvent	LevelEvent	Play	level_event	Clientbound	WorldPackets.Clientbound.LevelEvent	ClientboundLevelEventPacket	WorldEffectCodecs.LevelEventV1_14,WorldEffectCodecs.LevelEventV1_8	WorldBindings
World	LevelParticles	LevelParticles	Play	level_particles	Clientbound	WorldPackets.Clientbound.LevelParticles	ClientboundLevelParticlesPacket	WorldEffectCodecs.LevelParticlesV1_13,WorldEffectCodecs.LevelParticlesV1_14,WorldEffectCodecs.LevelParticlesV1_15,WorldEffectCodecs.LevelParticlesV1_19,WorldEffectCodecs.LevelParticlesV1_20_5,WorldEffectCodecs.LevelParticlesV1_21,WorldEffectCodecs.LevelParticlesV1_21_11,WorldEffectCodecs.LevelParticlesV1_21_2,WorldEffectCodecs.LevelParticlesV1_21_4,WorldEffectCodecs.LevelParticlesV1_21_5,WorldEffectCodecs.LevelParticlesV1_21_6,WorldEffectCodecs.LevelParticlesV1_21_9,WorldEffectCodecs.LevelParticlesV1_8,WorldEffectCodecs.LevelParticlesV26_1,WorldEffectCodecs.LevelParticlesV26_2	WorldBindings
World	LightUpdate	LightUpdate	Play	light_update	Clientbound	WorldPackets.Clientbound.LightUpdate	ClientboundLightUpdatePacket	WorldStateCodecs.LightUpdateV1_14,WorldStateCodecs.LightUpdateV1_16,WorldStateCodecs.LightUpdateV1_17,WorldStateCodecs.LightUpdateV1_20	WorldBindings
Play	Login	Login	Play	login	Clientbound	PlayPackets.Clientbound.Login	ClientboundLoginPacket	JoinGameCodecs.V1_9_1,JoinGameCodecs.V1_14,JoinGameCodecs.V1_15,JoinGameCodecs.V1_16,JoinGameCodecs.V1_16_2,JoinGameCodecs.V1_18,JoinGameCodecs.V1_19,JoinGameCodecs.V1_20,JoinGameCodecs.V1_20_2,JoinGameCodecs.V1_20_5,JoinGameCodecs.V1_21_2,JoinGameCodecs.V1_8,JoinGameCodecs.V26_1,JoinGameCodecs.V26_2	PlayCoreBindings
Chunk	MapChunkBulk	MapChunkBulk	Play	map_chunk_bulk	Clientbound	PlayPackets.Clientbound.MapChunkBulk	ClientboundMapChunkBulkPacket	ChunkCodecs.MapChunkBulkV1_8	PlayCoreBindings
World	MapItemData	MapItemData	Play	map_item_data	Clientbound	WorldPackets.Clientbound.MapItemData	ClientboundMapItemDataPacket	WorldMapCodecs.MapItemDataV1_13,WorldMapCodecs.MapItemDataV1_14,WorldMapCodecs.MapItemDataV1_17,WorldMapCodecs.MapItemDataV1_20_3,WorldMapCodecs.MapItemDataV1_21_5,WorldMapCodecs.MapItemDataV1_8,WorldMapCodecs.MapItemDataV1_9	WorldBindings
Container	MerchantOffers	MerchantOffers	Play	merchant_offers	Clientbound	ItemPackets.Clientbound.MerchantOffers	ClientboundMerchantOffersPacket	MerchantCodecs.MerchantOffers770,MerchantCodecs.MerchantOffers776,MerchantCodecs.MerchantOffersV1_14,MerchantCodecs.MerchantOffersV1_14_3,MerchantCodecs.MerchantOffersV1_14_4,MerchantCodecs.MerchantOffersV1_19,MerchantCodecs.MerchantOffersV1_20_2,MerchantCodecs.MerchantOffersV1_20_5,MerchantCodecs.MerchantOffersV1_21	ItemBindings
Entity	MoveEntityPos	MoveEntityPos	Play	move_entity_pos	Clientbound	EntityPackets.Clientbound.MoveEntityPos	ClientboundMoveEntityPosPacket	EntityMoveCodecs.MoveEntityPosV1_9,EntityMoveCodecs.MoveEntityPosV1_8	EntityBindings
Entity	MoveEntityPosRot	MoveEntityPosRot	Play	move_entity_pos_rot	Clientbound	EntityPackets.Clientbound.MoveEntityPosRot	ClientboundMoveEntityPosRotPacket	EntityMoveCodecs.MoveEntityPosRotV1_9,EntityMoveCodecs.MoveEntityPosRotV1_8	EntityBindings
Entity	MoveEntityRot	MoveEntityRot	Play	move_entity_rot	Clientbound	EntityPackets.Clientbound.MoveEntityRot	ClientboundMoveEntityRotPacket	EntityMoveCodecs.MoveEntityRot	EntityBindings
Entity	MovePlayer	MovePlayer	Play	move_player	Serverbound	EntityPackets.Serverbound.MovePlayerStatus	ServerboundMovePlayerStatusPacket	EntityServerboundCodecs.MovePlayerStatusV1_8	EntityBindings
Entity	MovePlayerPos	MovePlayerPos	Play	move_player_pos	Serverbound	EntityPackets.Serverbound.MovePlayerPos	ServerboundMovePlayerPosPacket	EntityServerboundCodecs.MovePlayerPosV1_14,EntityServerboundCodecs.MovePlayerPosV1_8	EntityBindings
Entity	MovePlayerPosRot	MovePlayerPosRot	Play	move_player_pos_rot	Serverbound	EntityPackets.Serverbound.MovePlayerPosRot	ServerboundMovePlayerPosRotPacket	EntityServerboundCodecs.MovePlayerPosRotV1_14,EntityServerboundCodecs.MovePlayerPosRotV1_8	EntityBindings
Entity	MovePlayerRot	MovePlayerRot	Play	move_player_rot	Serverbound	EntityPackets.Serverbound.MovePlayerRot	ServerboundMovePlayerRotPacket	EntityServerboundCodecs.MovePlayerRotV1_14,EntityServerboundCodecs.MovePlayerRotV1_8	EntityBindings
Entity	MovePlayerStatusOnly	MovePlayerStatusOnly	Play	move_player_status_only	Serverbound	EntityPackets.Serverbound.MovePlayerStatusOnly	ServerboundMovePlayerStatusOnlyPacket	EntityServerboundCodecs.MovePlayerStatusOnly	EntityBindings
Entity	MoveVehicle	MoveVehicle	Play	move_vehicle	Serverbound	EntityPackets.Serverbound.MoveVehicle	ServerboundMoveVehiclePacket	EntityServerboundCodecs.MoveVehicle,EntityServerboundCodecs.MoveVehicleV1_9	EntityBindings
Ui	OpenBook	OpenBook	Play	open_book	Clientbound	UiPackets.Clientbound.OpenBook	ClientboundOpenBookPacket	UiMiscCodecs.OpenBookV1_14	UiBindings
Container	OpenScreen	OpenScreen	Play	open_screen	Clientbound	ItemPackets.Clientbound.OpenScreen	ClientboundOpenScreenPacket	ContainerCodecs.OpenScreenModern,ContainerCodecs.OpenScreenV1_14,ContainerCodecs.OpenScreenV1_20_3,ContainerCodecs.OpenScreenV1_21_2,ContainerCodecs.OpenScreenV1_8	ItemBindings
Ui	OpenSignEditor	OpenSignEditor	Play	open_sign_editor	Clientbound	UiPackets.Clientbound.OpenSignEditor	ClientboundOpenSignEditorPacket	UiMiscCodecs.OpenSignEditorV1_14,UiMiscCodecs.OpenSignEditorV1_8	UiBindings
Entity	PaddleBoat	PaddleBoat	Play	paddle_boat	Serverbound	EntityPackets.Serverbound.PaddleBoat	ServerboundPaddleBoatPacket	EntityServerboundCodecs.PaddleBoat	EntityBindings
Container	PickItemFromBlock	PickItemFromBlock	Play	pick_item_from_block	Serverbound	ItemPackets.Serverbound.PickItemFromBlock	ServerboundPickItemFromBlockPacket	UseItemCodecs.PickItemFromBlockModern	ItemBindings
Container	PickItemFromEntity	PickItemFromEntity	Play	pick_item_from_entity	Serverbound	ItemPackets.Serverbound.PickItemFromEntity	ServerboundPickItemFromEntityPacket	UseItemCodecs.PickItemFromEntityModern	ItemBindings
Common	Ping	Ping.Play	Play	ping	Clientbound	UiPackets.Clientbound.Ping	ClientboundPlayPingPacket	UiMiscCodecs.PingV1_17	UiBindings
Common	PingRequest	PingRequest.Play	Play	ping_request	Serverbound	UiPackets.Serverbound.PingRequest	ServerboundPlayPingRequestPacket	UiMiscCodecs.ServerPingRequestV1_20_2	UiBindings
Container	PlaceGhostRecipe	PlaceGhostRecipe	Play	place_ghost_recipe	Clientbound	ItemPackets.Clientbound.PlaceGhostRecipe	ClientboundPlaceGhostRecipePacket	RecipeCodecs.PlaceGhostRecipeModern	ItemBindings
Container	PlaceRecipe	PlaceRecipe	Play	place_recipe	Serverbound	ItemPackets.Serverbound.PlaceRecipe,ItemPackets.Serverbound.PlaceRecipeByName	ServerboundPlaceRecipeByNamePacket,ServerboundPlaceRecipePacket	RecipeCodecs.PlaceRecipeByNameV1_13,RecipeCodecs.PlaceRecipeModern	ItemBindings
Ui	PlayerAbilities	PlayerAbilities	Play	player_abilities	Clientbound,Serverbound	UiPackets.Clientbound.PlayerAbilities,UiPackets.Serverbound.PlayerAbilities	ClientboundPlayerAbilitiesPacket,ServerboundPlayerAbilitiesPacket	UiMiscCodecs.PlayerAbilitiesV1_8,UiMiscCodecs.ServerPlayerAbilitiesV1_14	UiBindings
Entity	PlayerAction	PlayerAction	Play	player_action	Serverbound	EntityPackets.Serverbound.PlayerAction	ServerboundPlayerActionPacket	EntityServerboundCodecs.PlayerActionV1_14,EntityServerboundCodecs.PlayerActionV1_19,EntityServerboundCodecs.PlayerActionV1_8,EntityServerboundCodecs.PlayerActionV1_9	EntityBindings
Chat	PlayerChat	PlayerChat	Play	player_chat	Clientbound	UiPackets.Clientbound.PlayerChat	ClientboundPlayerChatPacket	ChatCodecs.V1_19,ChatCodecs.V1_19_1,ChatCodecs.V1_19_3,ChatCodecs.V1_20_3,ChatCodecs.V1_21_5	PlayCoreBindings
Entity	PlayerCommand	PlayerCommand	Play	player_command	Serverbound	EntityPackets.Serverbound.PlayerCommand	ServerboundPlayerCommandPacket	EntityServerboundCodecs.PlayerCommand	EntityBindings
Ui	PlayerInfo	PlayerInfo	Play	player_info	Clientbound	UiPackets.Clientbound.LegacyPlayerListItem	ClientboundLegacyPlayerListItemPacket	PlayerListCodecs.LegacyPlayerListItemV1_19,PlayerListCodecs.LegacyPlayerListItemV1_8	UiBindings
Ui	PlayerInfoRemove	PlayerInfoRemove	Play	player_info_remove	Clientbound	UiPackets.Clientbound.PlayerInfoRemove	ClientboundPlayerInfoRemovePacket	PlayerListCodecs.PlayerInfoRemoveV1_19_3	UiBindings
Ui	PlayerInfoUpdate	PlayerInfoUpdate	Play	player_info_update	Clientbound	UiPackets.Clientbound.PlayerInfoUpdate	ClientboundPlayerInfoUpdatePacket	PlayerListCodecs.PlayerInfoUpdateV1_19_3,PlayerListCodecs.PlayerInfoUpdateV1_20_3,PlayerListCodecs.PlayerInfoUpdateV1_21_2,PlayerListCodecs.PlayerInfoUpdateV1_21_5	UiBindings
Entity	PlayerInput	PlayerInput	Play	player_input	Serverbound	EntityPackets.Serverbound.PlayerInput	ServerboundPlayerInputPacket	EntityServerboundCodecs.PlayerInput	EntityBindings
Ui	PlayerListHeaderFooter	PlayerListHeaderFooter	Play	player_list_header_footer	Clientbound	UiPackets.Clientbound.LegacyTabList	ClientboundTabListPacket	PlayerListCodecs.TabListV1_20_3,PlayerListCodecs.TabListV1_21_5,PlayerListCodecs.TabListV1_8,PlayerListCodecs.TabListV1_9	UiBindings
Play	PlayerLoaded	PlayerLoaded	Play	player_loaded	Serverbound	PlayPackets.Serverbound.PlayerLoaded	ServerboundPlayerLoadedPacket	PlayCommonCodecs.PlayerLoaded	PlayCoreBindings
Entity	PlayerPosition	PlayerPosition	Play	player_position	Clientbound	EntityPackets.Clientbound.PlayerPosition	ClientboundPlayerPositionPacket	EntityMoveCodecs.PlayerPositionV1_17,EntityMoveCodecs.PlayerPositionV1_21_2,EntityMoveCodecs.PlayerPositionV1_8,EntityMoveCodecs.PlayerPositionV1_9	EntityBindings
Common	Pong	Pong.Play	Play	pong	Serverbound	UiPackets.Serverbound.Pong	ServerboundPlayPongPacket	UiMiscCodecs.ServerPongV1_17	UiBindings
Common	PongResponse	PongResponse.Play	Play	pong_response	Clientbound	UiPackets.Clientbound.PongResponse	ClientboundPlayPongResponsePacket	UiMiscCodecs.PongResponseV1_20_2	UiBindings
Container	Recipe	Recipe	Play	recipe	Clientbound	ItemPackets.Clientbound.Recipe	ClientboundRecipePacket	RecipeCodecs.RecipeV1_12,RecipeCodecs.RecipeV1_13,RecipeCodecs.RecipeV1_16_2	ItemBindings
Container	RecipeBookAdd	RecipeBookAdd	Play	recipe_book_add	Clientbound	ItemPackets.Clientbound.RecipeBookAdd	ClientboundRecipeBookAddPacket	-	ItemBindings
Container	RecipeBookChangeSettings	RecipeBookChangeSettings	Play	recipe_book_change_settings	Serverbound	ItemPackets.Serverbound.RecipeBookChangeSettings	ServerboundRecipeBookChangeSettingsPacket	RecipeCodecs.RecipeBookChangeSettingsModern	ItemBindings
Container	RecipeBookRemove	RecipeBookRemove	Play	recipe_book_remove	Clientbound	ItemPackets.Clientbound.RecipeBookRemove	ClientboundRecipeBookRemovePacket	RecipeCodecs.RecipeBookRemoveModern	ItemBindings
Container	RecipeBookSeenRecipe	RecipeBookSeenRecipe	Play	recipe_book_seen_recipe	Serverbound	ItemPackets.Serverbound.RecipeBookSeenRecipe,ItemPackets.Serverbound.RecipeBookSeenRecipeByName	ServerboundRecipeBookSeenRecipeByNamePacket,ServerboundRecipeBookSeenRecipePacket	RecipeCodecs.RecipeBookSeenRecipeByNameV1_16_2,RecipeCodecs.RecipeBookSeenRecipeModern	ItemBindings
Container	RecipeBookSettings	RecipeBookSettings	Play	recipe_book_settings	Clientbound	ItemPackets.Clientbound.RecipeBookSettings	ClientboundRecipeBookSettingsPacket	RecipeCodecs.RecipeBookSettingsModern	ItemBindings
Entity	RemoveEntities	RemoveEntities	Play	remove_entities	Clientbound	EntityPackets.Clientbound.RemoveEntities	ClientboundRemoveEntitiesPacket	EntitySpawnCodecs.RemoveEntities,EntitySpawnCodecs.RemoveEntityV1_17	EntityBindings
Entity	RemoveMobEffect	RemoveMobEffect	Play	remove_mob_effect	Clientbound	EntityPackets.Clientbound.RemoveMobEffect	ClientboundRemoveMobEffectPacket	EntityEffectCodecs.RemoveMobEffectV1_18,EntityEffectCodecs.RemoveMobEffectV1_8	EntityBindings
Container	RenameItem	RenameItem	Play	rename_item	Serverbound	ItemPackets.Serverbound.RenameItem	ServerboundRenameItemPacket	ContainerCodecs.RenameItemV1_13	ItemBindings
Ui	ResetScore	ResetScore	Play	reset_score	Clientbound	UiPackets.Clientbound.ResetScore	ClientboundResetScorePacket	ScoreboardCodecs.ResetScoreV1_20_3	UiBindings
Common	ResourcePack	ResourcePack.Play	Play	resource_pack	Clientbound,Serverbound	UiPackets.Clientbound.LegacyResourcePack,UiPackets.Serverbound.ResourcePack	ClientboundLegacyResourcePackPacket,ServerboundResourcePackPacket	ResourcePackCodecs.LegacyResourcePackV1_8,ResourcePackCodecs.ServerResourcePackV1_14,ResourcePackCodecs.ServerResourcePackV1_20_3	UiBindings
Common	ResourcePackPop	ResourcePackPop.Play	Play	resource_pack_pop	Clientbound	UiPackets.Clientbound.ResourcePackPop	ClientboundResourcePackPopPacket	ResourcePackCodecs.ResourcePackPopV1_20_3	UiBindings
Common	ResourcePackPush	ResourcePackPush.Play	Play	resource_pack_push	Clientbound	UiPackets.Clientbound.ResourcePackPush	ClientboundResourcePackPushPacket	ResourcePackCodecs.ResourcePackPushV1_14,ResourcePackCodecs.ResourcePackPushV1_17,ResourcePackCodecs.ResourcePackPushV1_20_3,ResourcePackCodecs.ResourcePackPushV1_21_5	UiBindings
Ui	ResourcePackResponse	ResourcePackResponse	Play	resource_pack_response	Serverbound	UiPackets.Serverbound.LegacyResourcePack	ServerboundLegacyResourcePackPacket	ResourcePackCodecs.ServerLegacyResourcePackV1_10,ResourcePackCodecs.ServerLegacyResourcePackV1_8	UiBindings
World	Respawn	Respawn	Play	respawn	Clientbound	WorldPackets.Clientbound.Respawn	ClientboundRespawnPacket	WorldStateCodecs.RespawnV1_14,WorldStateCodecs.RespawnV1_15,WorldStateCodecs.RespawnV1_16,WorldStateCodecs.RespawnV1_16_2,WorldStateCodecs.RespawnV1_19,WorldStateCodecs.RespawnV1_20,WorldStateCodecs.RespawnV1_20_2,WorldStateCodecs.RespawnV1_20_5,WorldStateCodecs.RespawnV1_21_2,WorldStateCodecs.RespawnV1_8	WorldBindings
Entity	RotateHead	RotateHead	Play	rotate_head	Clientbound	EntityPackets.Clientbound.RotateHead	ClientboundRotateHeadPacket	EntityMoveCodecs.RotateHead	EntityBindings
Ui	ScoreboardObjective	ScoreboardObjective	Play	scoreboard_objective	Clientbound	UiPackets.Clientbound.LegacyObjective	ClientboundLegacyObjectivePacket	ScoreboardCodecs.LegacyObjectiveV1_8	UiBindings
World	SectionBlocksUpdate	SectionBlocksUpdate	Play	section_blocks_update	Clientbound	WorldPackets.Clientbound.SectionBlocksUpdate	ClientboundSectionBlocksUpdatePacket	WorldBlockCodecs.SectionBlocksUpdateV1_16_2,WorldBlockCodecs.SectionBlocksUpdateV1_20,WorldBlockCodecs.SectionBlocksUpdateV1_8	WorldBindings
Ui	SeenAdvancements	SeenAdvancements	Play	seen_advancements	Serverbound	UiPackets.Serverbound.SeenAdvancements	ServerboundSeenAdvancementsPacket	AdvancementCodecs.SeenAdvancementsV1_12	UiBindings
Ui	SelectAdvancementsTab	SelectAdvancementsTab	Play	select_advancements_tab	Clientbound	UiPackets.Clientbound.SelectAdvancementsTab	ClientboundSelectAdvancementsTabPacket	AdvancementCodecs.SelectAdvancementsTabV1_12	UiBindings
Container	SelectTrade	SelectTrade	Play	select_trade	Serverbound	ItemPackets.Serverbound.SelectTrade	ServerboundSelectTradePacket	MerchantCodecs.SelectTradeModern	ItemBindings
Ui	ServerData	ServerData	Play	server_data	Clientbound	UiPackets.Clientbound.ServerData	ClientboundServerDataPacket	ChatDisplayCodecs.ServerDataV1_19,ChatDisplayCodecs.ServerDataV1_19_1,ChatDisplayCodecs.ServerDataV1_19_3,ChatDisplayCodecs.ServerDataV1_19_4,ChatDisplayCodecs.ServerDataV1_20_3,ChatDisplayCodecs.ServerDataV1_20_5,ChatDisplayCodecs.ServerDataV1_21_5	UiBindings
Common	ServerLinks	ServerLinks.Play	Play	server_links	Clientbound	UiPackets.Clientbound.ServerLinks	ClientboundServerLinksPacket	UiMiscCodecs.ServerLinksV1_21,UiMiscCodecs.ServerLinksV1_21_5	UiBindings
Ui	SetActionBarText	SetActionBarText	Play	set_action_bar_text	Clientbound	UiPackets.Clientbound.SetActionBarText	ClientboundSetActionBarTextPacket	TitleCodecs.SetActionBarTextV1_17,TitleCodecs.SetActionBarTextV1_20_3,TitleCodecs.SetActionBarTextV1_21_5	UiBindings
World	SetBorderCenter	SetBorderCenter	Play	set_border_center	Clientbound	WorldPackets.Clientbound.SetBorderCenter	ClientboundSetBorderCenterPacket	WorldBorderCodecs.SetBorderCenterV1_17	WorldBindings
World	SetBorderLerpSize	SetBorderLerpSize	Play	set_border_lerp_size	Clientbound	WorldPackets.Clientbound.SetBorderLerpSize	ClientboundSetBorderLerpSizePacket	WorldBorderCodecs.SetBorderLerpSizeV1_17	WorldBindings
World	SetBorderSize	SetBorderSize	Play	set_border_size	Clientbound	WorldPackets.Clientbound.SetBorderSize	ClientboundSetBorderSizePacket	WorldBorderCodecs.SetBorderSizeV1_17	WorldBindings
World	SetBorderWarningDelay	SetBorderWarningDelay	Play	set_border_warning_delay	Clientbound	WorldPackets.Clientbound.SetBorderWarningDelay	ClientboundSetBorderWarningDelayPacket	WorldBorderCodecs.SetBorderWarningDelayV1_17	WorldBindings
World	SetBorderWarningDistance	SetBorderWarningDistance	Play	set_border_warning_distance	Clientbound	WorldPackets.Clientbound.SetBorderWarningDistance	ClientboundSetBorderWarningDistancePacket	WorldBorderCodecs.SetBorderWarningDistanceV1_17	WorldBindings
Entity	SetCamera	SetCamera	Play	set_camera	Clientbound	EntityPackets.Clientbound.SetCamera	ClientboundSetCameraPacket	EntityStateCodecs.SetCamera	EntityBindings
Entity	SetCarriedItem	SetCarriedItem	Play	set_carried_item	Serverbound	EntityPackets.Serverbound.SetCarriedItem	ServerboundSetCarriedItemPacket	EntityServerboundCodecs.SetCarriedItem	EntityBindings
World	SetChunkCacheCenter	SetChunkCacheCenter	Play	set_chunk_cache_center	Clientbound	WorldPackets.Clientbound.SetChunkCacheCenter	ClientboundSetChunkCacheCenterPacket	WorldStateCodecs.SetChunkCacheCenterV1_14	WorldBindings
World	SetChunkCacheRadius	SetChunkCacheRadius	Play	set_chunk_cache_radius	Clientbound	WorldPackets.Clientbound.SetChunkCacheRadius	ClientboundSetChunkCacheRadiusPacket	WorldStateCodecs.SetChunkCacheRadiusV1_14	WorldBindings
World	SetCommandBlock	SetCommandBlock	Play	set_command_block	Serverbound	WorldPackets.Serverbound.SetCommandBlock	ServerboundSetCommandBlockPacket	WorldBlockCodecs.SetCommandBlockV1_13,WorldBlockCodecs.SetCommandBlockV1_14	WorldBindings
Container	SetCreativeModeSlot	SetCreativeModeSlot	Play	set_creative_mode_slot	Serverbound	ItemPackets.Serverbound.SetCreativeModeSlot	ServerboundSetCreativeModeSlotPacket	ContainerCodecs.CreativeSlot770,ContainerCodecs.CreativeSlot776,ContainerCodecs.CreativeSlotV1_13,ContainerCodecs.CreativeSlotV1_13_2,ContainerCodecs.CreativeSlotV1_14,ContainerCodecs.CreativeSlotV1_20_2,ContainerCodecs.CreativeSlotV1_20_5,ContainerCodecs.CreativeSlotV1_21,ContainerCodecs.CreativeSlotV1_8,ContainerCodecs.CreativeSlotV1_9	ItemBindings
Container	SetCursorItem	SetCursorItem	Play	set_cursor_item	Clientbound	ItemPackets.Clientbound.SetCursorItem	ClientboundSetCursorItemPacket	ContainerCodecs.SetCursorItem770,ContainerCodecs.SetCursorItem776	ItemBindings
World	SetDefaultSpawnPosition	SetDefaultSpawnPosition	Play	set_default_spawn_position	Clientbound	WorldPackets.Clientbound.SetDefaultSpawnPosition	ClientboundSetDefaultSpawnPositionPacket	WorldStateCodecs.SetDefaultSpawnV1_14,WorldStateCodecs.SetDefaultSpawnV1_17,WorldStateCodecs.SetDefaultSpawnV1_21_9,WorldStateCodecs.SetDefaultSpawnV1_8	WorldBindings
Ui	SetDisplayChatPreview	SetDisplayChatPreview	Play	set_display_chat_preview	Clientbound	UiPackets.Clientbound.SetDisplayChatPreview	ClientboundSetDisplayChatPreviewPacket	ChatDisplayCodecs.SetDisplayChatPreviewV1_19	UiBindings
Ui	SetDisplayObjective	SetDisplayObjective	Play	set_display_objective	Clientbound	UiPackets.Clientbound.SetDisplayObjective	ClientboundSetDisplayObjectivePacket	ScoreboardCodecs.SetDisplayObjectiveV1_18,ScoreboardCodecs.SetDisplayObjectiveV1_20_2,ScoreboardCodecs.SetDisplayObjectiveV1_9	UiBindings
Entity	SetEntityData	SetEntityData	Play	set_entity_data	Clientbound	EntityPackets.Clientbound.SetEntityData	ClientboundSetEntityDataPacket	EntityDataCodecs.SetEntityDataV1_12,EntityDataCodecs.SetEntityDataV1_13,EntityDataCodecs.SetEntityDataV1_13_2,EntityDataCodecs.SetEntityDataV1_14,EntityDataCodecs.SetEntityDataV1_19,EntityDataCodecs.SetEntityDataV1_19_3,EntityDataCodecs.SetEntityDataV1_19_4,EntityDataCodecs.SetEntityDataV1_20_2,EntityDataCodecs.SetEntityDataV1_20_3,EntityDataCodecs.SetEntityDataV1_20_5,EntityDataCodecs.SetEntityDataV1_21_11,EntityDataCodecs.SetEntityDataV1_21_2,EntityDataCodecs.SetEntityDataV1_21_4,EntityDataCodecs.SetEntityDataV1_21_5,EntityDataCodecs.SetEntityDataV1_21_6,EntityDataCodecs.SetEntityDataV1_21_9,EntityDataCodecs.SetEntityDataV1_8,EntityDataCodecs.SetEntityDataV1_9,EntityDataCodecs.SetEntityDataV26_1,EntityDataCodecs.SetEntityDataV26_2	EntityBindings
Entity	SetEntityLink	SetEntityLink	Play	set_entity_link	Clientbound	EntityPackets.Clientbound.SetEntityLink	ClientboundSetEntityLinkPacket	EntityStateCodecs.SetEntityLinkV1_9,EntityStateCodecs.SetEntityLinkV1_8	EntityBindings
Entity	SetEntityMotion	SetEntityMotion	Play	set_entity_motion	Clientbound	EntityPackets.Clientbound.SetEntityMotion	ClientboundSetEntityMotionPacket	EntityMoveCodecs.SetEntityMotion,EntityMoveCodecs.SetEntityMotionV1_21_9	EntityBindings
Entity	SetEquipment	SetEquipment	Play	set_equipment	Clientbound	EntityPackets.Clientbound.SetEquipment	ClientboundSetEquipmentPacket	EntityEquipmentCodecs.SetEquipmentV1_13,EntityEquipmentCodecs.SetEquipmentV1_13_2,EntityEquipmentCodecs.SetEquipmentV1_16,EntityEquipmentCodecs.SetEquipmentV1_8,EntityEquipmentCodecs.SetEquipmentV1_9	EntityBindings
Entity	SetExperience	SetExperience	Play	set_experience	Clientbound	EntityPackets.Clientbound.SetExperience	ClientboundSetExperiencePacket	EntityStateCodecs.SetExperience	EntityBindings
Entity	SetHealth	SetHealth	Play	set_health	Clientbound	EntityPackets.Clientbound.SetHealth	ClientboundSetHealthPacket	EntityStateCodecs.SetHealth	EntityBindings
Entity	SetHeldSlot	SetHeldSlot	Play	set_held_slot	Clientbound	EntityPackets.Clientbound.SetHeldSlot	ClientboundSetHeldSlotPacket	EntityStateCodecs.SetHeldSlotV1_21_4,EntityStateCodecs.SetHeldSlotV1_8	EntityBindings
Ui	SetObjective	SetObjective	Play	set_objective	Clientbound	UiPackets.Clientbound.SetObjective	ClientboundSetObjectivePacket	ScoreboardCodecs.SetObjectiveV1_13,ScoreboardCodecs.SetObjectiveV1_18,ScoreboardCodecs.SetObjectiveV1_20_3,ScoreboardCodecs.SetObjectiveV1_21_5,ScoreboardCodecs.SetObjectiveV1_9	UiBindings
Entity	SetPassengers	SetPassengers	Play	set_passengers	Clientbound	EntityPackets.Clientbound.SetPassengers	ClientboundSetPassengersPacket	EntityStateCodecs.SetPassengers	EntityBindings
Container	SetPlayerInventory	SetPlayerInventory	Play	set_player_inventory	Clientbound	ItemPackets.Clientbound.SetPlayerInventory	ClientboundSetPlayerInventoryPacket	ContainerCodecs.SetPlayerInventory770,ContainerCodecs.SetPlayerInventory776	ItemBindings
Ui	SetPlayerTeam	SetPlayerTeam	Play	set_player_team	Clientbound	UiPackets.Clientbound.SetPlayerTeam	ClientboundSetPlayerTeamPacket	ScoreboardCodecs.SetPlayerTeamV1_13,ScoreboardCodecs.SetPlayerTeamV1_14,ScoreboardCodecs.SetPlayerTeamV1_20_3,ScoreboardCodecs.SetPlayerTeamV1_21_5,ScoreboardCodecs.SetPlayerTeamV1_8,ScoreboardCodecs.SetPlayerTeamV1_9,ScoreboardCodecs.SetPlayerTeamV26_2	UiBindings
Ui	SetScore	SetScore	Play	set_score	Clientbound	UiPackets.Clientbound.LegacySetScore,UiPackets.Clientbound.SetScore	ClientboundLegacySetScorePacket,ClientboundSetScorePacket	ScoreboardCodecs.LegacySetScoreV1_8,ScoreboardCodecs.SetScoreV1_20_3,ScoreboardCodecs.SetScoreV1_21_5	UiBindings
World	SetSimulationDistance	SetSimulationDistance	Play	set_simulation_distance	Clientbound	WorldPackets.Clientbound.SetSimulationDistance	ClientboundSetSimulationDistancePacket	WorldStateCodecs.SetSimulationDistanceV1_18	WorldBindings
